Year,Cover
1985,29.0
1986,28.9
1987,28.9
1988,28.9
1989,27.5
1990,27.6
1991,27.0
1992,27.0
1993,27.4
1994,27.7
1995,28.1
1996,28.4
1997,28.7
1998,25.1
1999,25.7
2000,26.4
2001,27.0
2002,21.9
2003,22.7
2004,23.7
2005,23.0
2006,22.2
2007,23.5
2008,24.7
2009,17.7
2010,17.5
2011,17.2
2012,18.1
2013,19.3
2014,19.9
2015,18.3
2016,15.6
2017,13.7
2018,14.9
2019,16.5
2020,16.0
2021,15.9
2022,15.6
2023,15.4
2024,14.6
2025,14.0
2026,13.5
2027,13.6
2028,13.3
2029,12.7
2030,12.2
2031,12.0
2032,11.8
2033,11.3
2034,11.2
2035,10.8
2036,10.6
2037,10.1
2038,10.0
2039,9.5
2040,9.2
2041,9.2
2042,8.8
2043,8.5
2044,8.3
2045,8.3
2046,8.3
2047,8.2
2048,8.0
2049,7.8
2050,7.5
2051,7.2
2052,7.2
2053,6.9
2054,6.9
2055,6.5
2056,6.4
2057,6.3
2058,6.2
2059,6.1
2060,5.8
2061,5.8
2062,5.8
2063,5.8
2064,5.7
2065,5.7
2066,5.9
2067,5.8
2068,5.8
2069,5.9
2070,5.7
